id,question1_en,question2_en,question2_fr,is_duplicate
251,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,Comment puis-je diagnostiquer et soigner avec précision ma maladie mentale?,1
252,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,Est-ce normal qu'une fille de 14 ans crache du sang?,0
253,What are the qualities of a good leader?,What are some good qualities of a leader?,Quelles sont les bonnes qualités d'un leader?,1
254,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,Quelle est exactement la différence entre une mer et une baie?,0
255,Will Modi win in 2019?,Can Narendra Modi become Prime Minister of India in 2019?,Narendra Modi peut-il devenir Premier ministre de l'Inde en 2019?,1
256,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,Comment puis-je obtenir la franchise de la boutique numérique Reliance?,0
257,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,Quelles sont les meilleures chaînes YouTube pour apprendre Git?,0
258,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,Pourquoi la plupart des Hindous ne mangent-ils pas de légumes?,0
259,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,Pouvons-nous annuler un ticket «liste d'attente Tatkal»?,0
260,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,Quels sont les avantages et les inconvénients de la Common Core Standards Initiative?,1
261,How do I choose a journal to publish my paper?,Where do I publish my paper?,Où puis-je publier mon article?,1
262,What are your New Year's resolutions for 2017?,What is your creative New Year's resolution for 2017?,Quelle est votre résolution créative du nouvel an pour 2017?,1
263,What do you do if you had a bad dream?,How do you not get bad dreams?,Comment ne pas avoir de mauvais rêves?,0
264,Why do Slavs squat?,Do squats work for men?,Les squats fonctionnent-ils pour les hommes?,0
265,How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,Quelles notes minimales devrais-je marquer pour me classer parmi les 50 meilleures en AIIMS?,0
266,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,Médecins: Comment les chirurgiens tiennent-ils des chirurgies de plus de 6 heures? Se reposent-ils pendant l'opération?,0
267,How many months does it take to gain knowledge in developing Android apps from scratch?,How much time does it take to learn Android app development from scratch?,Combien de temps faut-il pour apprendre le développement d'applications Android à partir de zéro?,1
268,How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?","Comment puis-je rendre tout mon corps plus juste, si je suis un Indien froment?",0
269,What are the rights of a prisoner?,"If I am in prison, what rights would I have?","Si je suis en prison, quels droits aurais-je?",1
270,How can I get free gems in Clash of Clans?,How can I get free gems Clash of Clans?,Comment puis-je obtenir des gemmes gratuites Clash of Clans?,1
271,Why aren't there more apps like Word Lens?,What does Word Lens use for OCR?,Qu'est-ce que Word Lens utilise pour la reconnaissance optique de caractères?,0
272,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?","Dois-je m'inquiéter que ma copine envoie un texto à son ex-petit ami jusqu'à 4 heures du matin, et si oui, pourquoi?",0
273,What is the best way to get traffic on your website?,How do i get traffic for website?,Comment puis-je obtenir du trafic pour un site Web?,1
274,How do you feel when someone upvotes your answer on Quora?,How does it feel to see upvotes to your answer on Quora?,Qu'est-ce que ça fait de voir les commentaires sur votre réponse sur Quora?,1
275,What are some of the best films and TV shows that feature strong female protagonists?,What are the best female strong characters in films?,Quels sont les meilleurs personnages féminins dans les films?,1
276,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?","À treize ans, quelle est la meilleure chose que je puisse faire pour ma santé?",0
277,How do most people die?,How do people die?,Comment les gens meurent?,0
278,Why are most clothes made of polyester now instead of cotton?,How are cotton clothes made?,Comment sont fabriqués les vêtements en coton?,0
279,What is in bone marrow?,What does bone marrow taste like?,Quel est le goût de la moelle osseuse?,0
280,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?","Dans la Rome antique, les esclaves étaient marqués. Que s'est-il passé avec la marque s'ils ont été libérés par la suite?",0
281,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?","Quand un cadavre est dans une rivière, combien de temps faut-il avant qu'il flotte?",1
282,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,Comment puis-je surmonter quelqu'un que j'ai aimé maintenant que nous avons rompu l'année dernière et qu'elle me manque toujours?,0
283,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,Comment explorer le monde sans dépenser plus d'argent?,0
284,How can I make money online with free of cost?,How do I to make money online?,Comment puis-je gagner de l'argent en ligne?,1
285,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,Où puis-je trouver de délicieux cupcakes à Gold Coast?,1
286,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,Quel a été le succès du plan de Delhi?,1
287,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,Qui va gagner si une guerre commence entre l'Inde et le Pakistan?,1
288,How do you deal with a fear of dying?,How can you reduce your fear of dying?,Comment pouvez-vous réduire votre peur de mourir?,1
289,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,Quel est le prix à payer pour réparer un écran iPhone 6 cassé? Comment ceci peut être fait?,0
290,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,Quels sont les produits et les innovations les plus intéressants que Ball publie en 2016?,0
291,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,L'univers est-il infini ou y a-t-il une fin à l'univers?,1
292,What is CPAGrip.com?,What is bestmytest.com?,Qu'est-ce que bestmytest.com?,0
293,How much funds should I raise?,How much money should I raise?,Combien dois-je gagner?,1
294,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,Que pensez-vous de M. Arvind Kejriwal et de son PAA?,0
295,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,Quel sera l'effet de l'interdiction des billets 1000rs et 500rs sur le marché boursier?,1
296,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,Comment les contractions concentriques et excentriques se comparent-elles et contrastent-elles?,1
297,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",Pourquoi les gens ne remettent-ils pas en question les articles et les avis publiés dans les médias sociaux?,0
298,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,Quelles plates-formes en ligne puis-je publier des annonces pour des opportunités de vente de bière?,0
299,What the meaning of this all life?,What's are the meaning of life?,Quel est le sens de la vie?,1
300,How should I start small business effectively?,How should I start a small business in construction?,Comment devrais-je démarrer une petite entreprise dans la construction?,0
301,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,Que sont les dépôts à terme? Les types de dépôts à terme RD et FD sont-ils?,0
302,Do you need friends?,Why do we need friends?,Pourquoi avons-nous besoin d'amis?,0
303,Do I exist?,Do we exist?,Existons-nous?,0
304,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,Quels sont les meilleurs films à suspense à Hollywood?,1
305,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,J'étudie au collège Ashutosh à Kolkata. Puis-je étudier dans un autre collège en Inde en 2ème année?,0
306,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,Que se passe-t-il lorsque vous remplissez une voiture à essence avec du diesel? Quelle est la solution si un tel incident s'est produit?,0
307,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,Quels sont les emplois disponibles avec un baccalauréat en sécurité intérieure?,1
308,Which are the best books to understand calculus?,What are good books to self study calculus?,Quels sont les bons livres pour le calcul d'autoformation?,1
309,Why and how did you break up with her/him?,How and why did you break up with your ex?,Comment et pourquoi as-tu rompu avec ton ex?,1
310,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,L'iPhone 5S prend-il en charge JIO VoLTE?,0
311,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,Quelles sont les règles non écrites que vous avez pour votre maison?,0
312,What is the best answer to what you did in two years gap in a job interview?,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,Quelle est la meilleure excuse pour expliquer une lacune (d'un ou deux ans) dans votre carrière professionnelle pour un entretien d'embauche?,1
313,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,Quelles sont les chansons pour une douce voix mezzo aérienne?,0
314,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,Que pouvez-vous me dire concernant cette carte de naissance?,0
315,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,Qui ont été les créateurs de la trigonométrie?,0
316,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?","Les gens disent ""n'essayez pas de plaire aux autres"". Etre gentil avec les autres signifie-t-il leur faire plaisir?",0
317,What do countries do to prevent war?,How should countries prevent war?,Comment les pays devraient-ils empêcher la guerre?,1
318,How can I become a billionaire?,How can I become a billionaire (in finance)?,Comment puis-je devenir milliardaire (en finance)?,1
319,Why should I learn web design?,How can I learn about web design?,Comment puis-je en apprendre davantage sur la conception de sites Web?,0
320,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,Existe-t-il un service Web capable d'envoyer des rappels de rendez-vous aux clients qui extraient des données du calendrier Google?,0
321,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,Quelles seront les implications de l'interdiction des billets de 500 et 1000 roupies sur l'économie indienne?,1
322,Why does understanding death philosophical?,What makes understanding death philosophical?,Qu'est-ce qui fait comprendre la mort philosophique?,1
323,Why are dogs considered omnivores?,Are dogs carnivorous animals?,Les chiens sont-ils des animaux carnivores?,1
324,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,Qu'est-ce que ça fait d'être en couple avec quelqu'un avec qui tu as triché?,0
325,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,"Si je désactive mon identifiant d'utilisateur, puis-je envoyer un texto à quelqu'un qui m'a bloqué?",0
326,What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,Quel est le plat le plus délicieux que vous ayez jamais mangé et pourquoi?,1
327,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,À quoi ressemble un banquier privé en Suisse?,0
328,What is journalism for you?,What is journalism?,Qu'est-ce que le journalisme?,0
329,How can one increase concentration?,How can I improve my concentration?,Comment puis-je améliorer ma concentration?,1
330,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!","Comment personnaliser une invitation sur LinkedIn? Je pense que je viens d'envoyer une invitation à un collègue sur LinkedIn, mais je n'ai pas eu la chance de le personnaliser!",0
331,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,Quels sont les avantages et les inconvénients d'avoir un berger allemand?,1
332,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,Quelle est la différence entre un passe-temps et une habitude?,0
333,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,Est-ce qu'un mari et une femme peuvent se masturber ensemble? Est-ce que la tricherie est envisagée si votre partenaire se masturbe sans votre consentement?,0
334,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,Can I get a job in a consulting firm after Mtech in CSE from IIT?,Puis-je obtenir un emploi dans un cabinet de conseil après Mtech en CSE de l'IIT?,0
335,Is there a biological reason that people cry when they are emotional?,What is the biological reason for crying?,Quelle est la raison biologique de pleurer?,0
336,What are 5 facts about the earth's crust?,How does the Earth's core affect its crust?,Comment le noyau de la Terre affecte-t-il sa croûte?,0
337,Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,Est-ce qu'un gars devrait réévaluer sa relation et ses sentiments actuels s'il est inquiet au sujet de la tentation avec une fille avec laquelle il était ami?,0
338,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?,Comment puis-je simuler la localisation de mon iPhone sans jailbreaker?,0
339,What would be the best way to quit smoking?,How did you quit/stop smoking?,Comment avez-vous arrêté / arrêté de fumer?,1
340,Which is the best programing language for tcs?,Which is the best programming language?,Quel est le meilleur langage de programmation?,0
341,Earthquake resistant homes?,How do earthquake resistant buildings work?,Comment fonctionnent les bâtiments résistants aux séismes?,1
342,Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,Jennifer Lawrence est-elle une mauvaise actrice?,0
343,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,Pourquoi la plupart des gars en Inde sont-ils devenus si désespérés? Ne savent-ils pas que les filles ne recherchent pas toujours des relations? Est-ce que ça ferait mal aux gars de devenir nos premiers amis?,0
344,What are the five most popular sugar daddy websites?,What is it like to date a cougar or a sugar daddy?,Qu'est-ce que ça fait de sortir avec un puma ou un papa?,0
345,What is the VTU 1st sem exam time table of 2016 (Dec)?,How do I frame my time table for 4 months to crack Gate 2016?,Comment cadrer mon calendrier pendant 4 mois pour craquer Gate 2016?,0
346,What is the best phone to buy below 15k?,Which are best mobile phones to buy under 15000?,Quels sont les meilleurs téléphones mobiles à acheter sous 15000?,1
347,How do we start a business?,How do I start business from nothing?,Comment puis-je démarrer une entreprise à partir de rien?,1
348,What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,Quelqu'un a-t-il déjà vécu une expérience de mort imminente?,1
349,Why do I keep getting fleas from my dogs?,How can I keep my dog from getting fleas?,Comment puis-je empêcher mon chien d'obtenir des puces?,1
350,What year did the letter J come?,When was the Letter J created?,Quand la lettre J a-t-elle été créée?,1
351,Harvard College Courses: What is general shopping advice for Turkish classes?,Harvard College Courses: What is general shopping advice for Tamil classes?,Harvard College Cours: Qu'est-ce qu'un conseil commercial général pour les classes tamoules?,0
352,How do I send message from one Android phone to another Android phone through bluetooth?,How do I transfer my contacts from one Android phone to another Android phone?,Comment transférer mes contacts d'un téléphone Android vers un autre téléphone Android?,0
353,What are the most important books ever written?,What is the most important book you have ever read?,Quel est le livre le plus important que vous ayez lu?,1
354,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,Quelles universités Sigma-Aldrich recrute-t-elle de nouveaux diplômés? Que cherchent les majors?,0
355,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,Je suis un étudiant de master intéressé à travailler dans le secteur humanitaire. Quelles sont les compétences requises? Je suis médecin et je fais mes études au Royaume-Uni,0
356,What universities does Powell Industries recruit new grads from? What majors are they looking for?,What universities does Chart Industries recruit new grads from? What majors are they looking for?,Quelles sont les universités dans lesquelles Chart Industries recrute de nouveaux diplômés? Que cherchent les majors?,0
357,What are some of the best movie posters you have come across?,What are the best & iconic movie posters?,Quelles sont les meilleures affiches de cinéma?,0
358,What are some examples of deuteromycota and how are they formed?,Could all bitcoin mining be done by a single Raspberry Pi?,L'extraction de bitcoins pourrait-elle être faite par un seul Raspberry Pi?,0
359,How racist is too racist?,How racist are you?,Comment es-tu raciste?,0
360,Are there any differences between however and nevertheless?,What's the difference between between and among?,Quelle est la différence entre et parmi?,0
361,Are Canada Geese really Canadian?,What do Canadians call Canada?,Qu'est-ce que les Canadiens appellent le Canada?,0
362,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,Comment trouveriez-vous le zéro de la fonction pour [math] y = \ frac {4x ^ 2 - 36x} {x-9} [/ math]?,0
363,How do I edit my devices on my Google play account?,How do I add a second device to a Google Play account?,Comment ajouter un deuxième appareil à un compte Google Play?,0
364,How can I become a good speaker?,What should I do to be a good Speaker?,Que dois-je faire pour être un bon orateur?,1
365,How can I write a letter to Mr. Narendra Modi?,How can I write to Narendra Modi?,Comment puis-je écrire à Narendra Modi?,1
366,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,Who is more delusional: Donald Trump or Ted Cruz?,Qui est le plus délirant: Donald Trump ou Ted Cruz?,0
367,Why do they name bastards Snow?,"If Jon Snow is not Ned's bastard, why does Lady Catelyn hate him so much?","Si Jon Snow n'est pas le bâtard de Ned, pourquoi Lady Catelyn le déteste-t-il tellement?",0
368,What do you think about the Bermuda Triangle?,What are your theories about Bermuda Triangle?,Quelles sont vos théories sur le triangle des Bermudes?,1
369,Do Mexican girls like black guys?,Do girls like black guys with no beard?,Les filles aiment-elles les mecs noirs sans barbe?,0
370,Have you lived in a tiny house?,Would you live in a tiny house?,Voudriez-vous vivre dans une petite maison?,0
371,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",I am an 18 years old boy and I love a girl who's 14 years old. We both live Tamil Nadu. Is this a time to propose to her?,Je suis un garçon de 18 ans et j'adore une fille de 14 ans. Nous vivons tous les deux le Tamil Nadu. Est-ce un moment pour lui proposer?,0
372,Can you debeak cockerels at 8 months old?,How much and with what should I feed my 3 months old raven?,Combien et avec quoi devrais-je nourrir mon corbeau de 3 mois?,0
373,What should someone do to overcome anxiety?,What should I do to avoid depression and anxiety?,Que dois-je faire pour éviter la dépression et l'anxiété?,1
374,How do we avoid whey in Yogurt?,Is bad breath a sign of a strong stomach?,La mauvaise haleine est-elle un signe d'un estomac fort?,0
375,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?","I'm a girl and I'm in love my best friend (who is also a girl), what should I do?","Je suis une fille et j'aime mon meilleur ami (qui est aussi une fille), que dois-je faire?",0
376,What is the best university in Germany for an MS?,Which are the best universities in Germany for getting a degree in mechanical engineering?,Quelles sont les meilleures universités en Allemagne pour obtenir un diplôme en génie mécanique?,0
377,How do I maintain my peace of mind?,How can I maintain my peace of mind?,Comment puis-je garder ma tranquillité d'esprit?,1
378,Which car has good build quality in india?,Is Volkswagen a good reliable car?,Volkswagen est-elle une bonne voiture fiable?,0
379,Why does massaging one's temples soothe a migraine or headache?,What are the causes and most effective ways to treat or cure migraine headaches?,Quelles sont les causes et les moyens les plus efficaces pour traiter ou guérir les migraines?,0
380,Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,Quelle est la brève comparaison de KMC à Manipal et Mangalore?,1
381,Why are my bestfriend still ignoring me?,What should I do when my bestfriend is ignoring me?,Que dois-je faire quand mon meilleur ami m'ignore?,0
382,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,Which useful Android phone apps are not available in the Google Play store?,Quelles applications de téléphone Android utiles ne sont pas disponibles sur le Google Play Store?,0
383,How do I keep motivation to learn a language?,How do you keep motivated when you learn a new language?,Comment rester motivé quand vous apprenez une nouvelle langue?,1
384,What are the top assessment companies in India?,Which are the top firms in Skills assessment industry in India and Globally?,Quelles sont les principales entreprises du secteur de l'évaluation des compétences en Inde et dans le monde?,0
385,What does @ mean as an emoticon?,Emoticons: What does “:/” mean?,"Emoticons: Que signifie "": /""?",0
386,Is a pinkish discharge normal in early pregnancy? What causes it?,What did nicholas piramal do with 17500 cr?,Qu'a fait nicholas piramal avec 17500 cr?,0
387,What are the best ways to properly finger yourself?,What would be the best way of keeping yourself amused in a prison?,Quelle serait la meilleure façon de se divertir dans une prison?,0
388,How do scientists work?,Where do scientists work?,Où travaillent les scientifiques?,0
389,How many sponsored candidates are shortlisted for CMC vellore?,"What is the office culture and woking at Patanjali office, haridwar?","Qu'est-ce que la culture de bureau et la vie au bureau de Patanjali, haridwar?",0
390,What is the different between Chinese wedding ceremony and western wedding ceremony?,What is the difference between Chinese and Western style wedding?,Quelle est la différence entre un mariage de style chinois et occidental?,1
391,What is the condition of tourism in Pakistan?,Preferable PG courses for BE (EEE) student in Tamil Nadu?,Cours de PG préférés pour les étudiants BE (EEE) au Tamil Nadu?,0
392,What is the different between offshore and onshore funds?,What is the difference between offshore and onshore?,Quelle est la différence entre offshore et onshore?,0
393,Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,Pourquoi les gens détestent-ils Shahrukh Khan et pourquoi les gens pensent-ils qu'il n'est pas un Indien?,1
394,What are the best self-help books you've ever read?,What are the top self help books I should read?,Quels sont les meilleurs livres d'auto-assistance que je devrais lire?,1
395,Is Evernote useful?,What is Evernote used for?,À quoi sert Evernote?,1
396,A title for my continuation to The Gift of the Magi?,How do I start my continuation for the Gift of the Magi?,Comment puis-je commencer ma continuation pour le Don des Mages?,0
397,What is a good song to lyric prank your best friend?,What are some good lyric prank songs to send your best friends?,Quelles sont quelques bonnes chansons lyriques pour envoyer vos meilleurs amis?,1
398,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,Je suis une fille au collège. Mes meilleurs amis sont tous des filles. J'ai découvert que je suis bisexuelle. Comment puis-je dire à ma meilleure amie qui est une fille sans qu'elle panique et que cela change toute notre amitié?,0
399,How do I pass a drug test for methamphetamine?,Can hair dye help pass a hair follicle drug test for daily meth smokers?,La teinture capillaire peut-elle aider à passer un test de dépistage des follicules pileux chez les fumeurs de méthamphétamine?,1
400,How could start with open source development?,How should I start contributing to open source projects?,Comment devrais-je commencer à contribuer à des projets open source?,1
401,Why do dreams look so real?,"If you dream about some kind of harm, will there be injuries in real life?","Si vous rêvez d'une sorte de préjudice, y aura-t-il des blessures dans la vraie vie?",0
402,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,Les joueurs de cricket boivent-ils réellement du thé pendant la pause thé?,1
403,How can I get entry in MIT?,What are the requirements for selection into MIT?,Quelles sont les exigences pour la sélection dans le MIT?,1
404,Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,Comment un foetus expire-t-il dans l'utérus?,1
405,What are movies with incest scenes?,Are there any good incest movie?,Y a-t-il un bon film d'inceste?,1
406,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,"Le gars avec qui je sors ne me dit rien et j'ai le sentiment qu'il ne se soucie pas de moi mais quand je le vois, il me montre qu'il m'aime et qu'il veut de moi. Pourquoi je me sens comme ça?",0
407,"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,Quel type de courroie peut être utilisé pour soulever 200 kg en continu?,0
408,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?","Pourquoi Oberon punit-il Titania dans ""Le songe d'une nuit d'été""?",0
409,Do you regret your divorce?,Have you ever regretted your divorce?,Avez-vous déjà regretté votre divorce?,1
410,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",How much can a person's DNA change from birth to death in a life span of approximately 70 years?,Dans quelle mesure l’ADN d’une personne peut-elle changer de la naissance à la mort sur une durée de vie d’environ 70 ans?,1
411,Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,Quels sont les faits intéressants sur Facebook?,0
412,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,Y a-t-il des indications solides que Donald Trump fait de la cocaïne?,1
413,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",What is the syllabus for ICSE 2017 geography map?,Quel est le programme pour la carte géographique ICSE 2017?,0
414,Which is more financially beneficial: being in a firm or teaching in an architecture college?,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?","Pourquoi les programmes de formation professionnelle pourraient-ils être plus avantageux que les diplômes universitaires, voire pas du tout, pour les futurs entrepreneurs et les magnats?",0
415,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,Quelle est la façon de regarder les Nuits de la Comédie avec Kapil en direct sur les plateaux?,1
416,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,Qui est Sandeep Maheshwari?,0
417,What is the biggest monster in Monster Hunter?,Is there a Monster Hunter PC game?,Y a-t-il un jeu PC Monster Hunter?,0
418,How can I convince people to stop blaspheming against the Holy Spirit?,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,Est-il important de quelle université vous faites votre diplôme (BCom) pour l'admission dans une école supérieure indienne même si je marque un score élevé (99% +)?,0
419,Why can't I stop watching porn?,Why should / shouldn't I watch porn?,Pourquoi devrais / ne devrais-je pas regarder du porno?,0
420,How can I start trusting any one?,How can one learn to trust again?,Comment peut-on apprendre à faire confiance à nouveau?,0
421,What's your bucket list?,What is your bucket list?,Quelle est votre liste de seau?,1
422,How did you first come across porn?,How were you first introduced to porn?,Comment as-tu été initié au porno?,1
423,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,Quels services de voiture sont disponibles à Atlanta? Comment sont-ils comparés aux taxis et par rapport les uns aux autres?,0
424,Why can’t charged molecules pass through the lipid cell membrane?,Why can't sodium channels pass through potassium channels?,Pourquoi les canaux sodiques ne peuvent-ils pas traverser les canaux potassiques?,0
425,How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,Comment puis-je me débarrasser du sentiment que mon conjoint me trompe?,0
426,What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,Quelle est la meilleure auberge de filles non AC à Srm?,0
427,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?","Comment décrire le trajet entre Brooklyn et Staten Island, et comment les attractions touristiques de ces villes se comparent-elles aux autres attractions touristiques?",0
428,What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,Est-ce sain de manger un avocat entier tous les jours?,1
429,How do I make free calls to family members on Airtel Andhra Pradesh?,How do I get Facebook badge notifications on HTC 10?,Comment puis-je recevoir les notifications de badge Facebook sur HTC 10?,0
430,What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,Que fera Hillary Clinton maintenant?,1
